capability,entity,action,event,permission_doc,screen_docs,test_doc,audit_class,confidence
inventory,stock_reservation,reserve_stock,stock.reserved,14-PERMISSIONS/inventory/stock_reservation.md,11-UX/screens/inventory/stock_reservation/,20-TESTING/inventory/stock_reservation/reserve_stock.md,always,KNOWN
kitchen_flow,preparation_ticket,route_ticket,preparation.routed;preparation.unrouted,14-PERMISSIONS/kitchen_flow/preparation_ticket.md,11-UX/screens/kitchen_flow/preparation_ticket/,20-TESTING/kitchen_flow/preparation_ticket/route_ticket.md,always,KNOWN
kitchen_flow,preparation_step,complete_step,preparation.step_completed;preparation.ticket_ready,14-PERMISSIONS/kitchen_flow/preparation_step.md,11-UX/screens/kitchen_flow/preparation_step/,20-TESTING/kitchen_flow/preparation_step/complete_step.md,always,KNOWN
kitchen_flow,preparation_ticket,recall_ticket,preparation.recalled,14-PERMISSIONS/kitchen_flow/preparation_ticket.md,11-UX/screens/kitchen_flow/preparation_ticket/,20-TESTING/kitchen_flow/preparation_ticket/recall_ticket.md,always,KNOWN
lease_management,lease,agree_lease,lease.agreed,14-PERMISSIONS/lease_management/lease.md,11-UX/screens/lease_management/lease/,20-TESTING/lease_management/lease/agree_lease.md,always,KNOWN
lease_management,escalation_rule,apply_escalation,lease.escalation_applied,14-PERMISSIONS/lease_management/escalation_rule.md,11-UX/screens/lease_management/escalation_rule/,20-TESTING/lease_management/escalation_rule/apply_escalation.md,always,KNOWN
lease_management,charge_schedule,reconcile_recoverable_charges,lease.recoverables_reconciled,14-PERMISSIONS/lease_management/charge_schedule.md,11-UX/screens/lease_management/charge_schedule/,20-TESTING/lease_management/charge_schedule/reconcile_recoverable_charges.md,always,KNOWN
notification,notification_message,request_notification,notification.requested;notification.audience_empty,14-PERMISSIONS/notification/notification_message.md,11-UX/screens/notification/notification_message/,20-TESTING/notification/notification_message/request_notification.md,always,KNOWN
notification,notification_message,send_message,notification.sent;notification.failed,14-PERMISSIONS/notification/notification_message.md,11-UX/screens/notification/notification_message/,20-TESTING/notification/notification_message/send_message.md,always,KNOWN
notification,notification_preference,set_preference,notification.preference_changed,14-PERMISSIONS/notification/notification_preference.md,11-UX/screens/notification/notification_preference/,20-TESTING/notification/notification_preference/set_preference.md,always,KNOWN
offline_sync,device_store,pull_dataset,sync.pulled,14-PERMISSIONS/offline_sync/device_store.md,11-UX/screens/offline_sync/device_store/,20-TESTING/offline_sync/device_store/pull_dataset.md,read_sensitive_only,KNOWN
offline_sync,queued_mutation,push_mutations,sync.pushed,14-PERMISSIONS/offline_sync/queued_mutation.md,11-UX/screens/offline_sync/queued_mutation/,20-TESTING/offline_sync/queued_mutation/push_mutations.md,always,KNOWN
offline_sync,sync_conflict,resolve_conflict,sync.conflict_resolved,14-PERMISSIONS/offline_sync/sync_conflict.md,11-UX/screens/offline_sync/sync_conflict/,20-TESTING/offline_sync/sync_conflict/resolve_conflict.md,always,KNOWN
order,order_line,capture_line,order_line.captured,14-PERMISSIONS/order/order_line.md,11-UX/screens/order/order_line/,20-TESTING/order/order_line/capture_line.md,always,KNOWN
order,order_line,modify_line,order_line.modified,14-PERMISSIONS/order/order_line.md,11-UX/screens/order/order_line/,20-TESTING/order/order_line/modify_line.md,always,KNOWN
order,order_line,void_line,order_line.voided,14-PERMISSIONS/order/order_line.md,11-UX/screens/order/order_line/,20-TESTING/order/order_line/void_line.md,always,KNOWN
order,order,split_order,order.split,14-PERMISSIONS/order/order.md,11-UX/screens/order/order/,20-TESTING/order/order/split_order.md,always,KNOWN
party,party,create_party,party.created;party_relationship.created,14-PERMISSIONS/party/party.md,11-UX/screens/party/party/,20-TESTING/party/party/create_party.md,always,KNOWN
party,party_channel,record_consent,party.consent_recorded,14-PERMISSIONS/party/party_channel.md,11-UX/screens/party/party_channel/,20-TESTING/party/party_channel/record_consent.md,always,KNOWN
party,merge_proposal,propose_merge,party.merge_proposed,14-PERMISSIONS/party/merge_proposal.md,11-UX/screens/party/merge_proposal/,20-TESTING/party/merge_proposal/propose_merge.md,always,KNOWN
party,merge_proposal,execute_merge,party.merged;party_relationship.updated;party.channels_consolidated,14-PERMISSIONS/party/merge_proposal.md,11-UX/screens/party/merge_proposal/,20-TESTING/party/merge_proposal/execute_merge.md,always,KNOWN
people,workforce_member,engage_member,workforce_member.engaged,14-PERMISSIONS/people/workforce_member.md,11-UX/screens/people/workforce_member/,20-TESTING/people/workforce_member/engage_member.md,always,KNOWN
people,qualification,verify_qualification,qualification.verified,14-PERMISSIONS/people/qualification.md,11-UX/screens/people/qualification/,20-TESTING/people/qualification/verify_qualification.md,always,KNOWN
people,absence,record_unplanned_absence,absence.recorded;member.became_unavailable,14-PERMISSIONS/people/absence.md,11-UX/screens/people/absence/,20-TESTING/people/absence/record_unplanned_absence.md,always,KNOWN
procurement,purchase_request,submit_request,purchase_request.submitted,14-PERMISSIONS/procurement/purchase_request.md,11-UX/screens/procurement/purchase_request/,20-TESTING/procurement/purchase_request/submit_request.md,always,KNOWN
procurement,goods_receipt,record_receipt,goods_receipt.recorded;stock.received,14-PERMISSIONS/procurement/goods_receipt.md,11-UX/screens/procurement/goods_receipt/,20-TESTING/procurement/goods_receipt/record_receipt.md,always,KNOWN
procurement,supplier_invoice,match_documents,procurement.matched;procurement.variance_detected,14-PERMISSIONS/procurement/supplier_invoice.md,11-UX/screens/procurement/supplier_invoice/,20-TESTING/procurement/supplier_invoice/match_documents.md,always,KNOWN
reporting,metric_definition,agree_metric,reporting.metric_agreed,14-PERMISSIONS/reporting/metric_definition.md,11-UX/screens/reporting/metric_definition/,20-TESTING/reporting/metric_definition/agree_metric.md,always,KNOWN
reporting,report_run,run_report,reporting.run_completed;reporting.run_failed,14-PERMISSIONS/reporting/report_run.md,11-UX/screens/reporting/report_run/,20-TESTING/reporting/report_run/run_report.md,read_sensitive_only,KNOWN
reporting,report_export,export_report,reporting.exported,14-PERMISSIONS/reporting/report_export.md,11-UX/screens/reporting/report_export/,20-TESTING/reporting/report_export/export_report.md,always,KNOWN
scheduling_dispatch,assignment,assign_resource,assignment.created;demand.coverage_changed,14-PERMISSIONS/scheduling_dispatch/assignment.md,11-UX/screens/scheduling_dispatch/assignment/,20-TESTING/scheduling_dispatch/assignment/assign_resource.md,always,KNOWN
scheduling_dispatch,schedule_version,publish_schedule,schedule.published;assignment.published per assignment,14-PERMISSIONS/scheduling_dispatch/schedule_version.md,11-UX/screens/scheduling_dispatch/schedule_version/,20-TESTING/scheduling_dispatch/schedule_version/publish_schedule.md,always,KNOWN
scheduling_dispatch,assignment,release_assignment,assignment.released;demand.coverage_changed,14-PERMISSIONS/scheduling_dispatch/assignment.md,11-UX/screens/scheduling_dispatch/assignment/,20-TESTING/scheduling_dispatch/assignment/release_assignment.md,always,KNOWN
search,search_query,execute_search,,14-PERMISSIONS/search/search_query.md,11-UX/screens/search/search_query/,20-TESTING/search/search_query/execute_search.md,read_sensitive_only,KNOWN
search,search_projection,publish_projection,search.projection_published,14-PERMISSIONS/search/search_projection.md,11-UX/screens/search/search_projection/,20-TESTING/search/search_projection/publish_projection.md,security,KNOWN
search,saved_search,save_search,search.saved,14-PERMISSIONS/search/saved_search.md,11-UX/screens/search/saved_search/,20-TESTING/search/saved_search/save_search.md,always,KNOWN
sites,location,create_location,location.created,14-PERMISSIONS/sites/location.md,11-UX/screens/sites/location/,20-TESTING/sites/location/create_location.md,always,KNOWN
sites,location,move_location,location.moved;org_structure.changed,14-PERMISSIONS/sites/location.md,11-UX/screens/sites/location/,20-TESTING/sites/location/move_location.md,always,KNOWN
sites,geofence,evaluate_presence,,14-PERMISSIONS/sites/geofence.md,11-UX/screens/sites/geofence/,20-TESTING/sites/geofence/evaluate_presence.md,read_sensitive_only,KNOWN
sla_contract,sla_measurement,start_clock,sla.clock_started,14-PERMISSIONS/sla_contract/sla_measurement.md,11-UX/screens/sla_contract/sla_measurement/,20-TESTING/sla_contract/sla_measurement/start_clock.md,always,KNOWN
sla_contract,sla_measurement,pause_clock,sla.clock_paused,14-PERMISSIONS/sla_contract/sla_measurement.md,11-UX/screens/sla_contract/sla_measurement/,20-TESTING/sla_contract/sla_measurement/pause_clock.md,always,KNOWN
sla_contract,sla_measurement,exclude_measurement,sla.measurement_excluded,14-PERMISSIONS/sla_contract/sla_measurement.md,11-UX/screens/sla_contract/sla_measurement/,20-TESTING/sla_contract/sla_measurement/exclude_measurement.md,always,KNOWN
work_order,work_order,submit_work_order,work_order.submitted,14-PERMISSIONS/work_order/work_order.md,11-UX/screens/work_order/work_order/,20-TESTING/work_order/work_order/submit_work_order.md,always,KNOWN
work_order,work_order,complete_work,work_order.completed;work_order.outcome_recorded,14-PERMISSIONS/work_order/work_order.md,11-UX/screens/work_order/work_order/,20-TESTING/work_order/work_order/complete_work.md,always,KNOWN
work_order,work_order,reopen_work_order,work_order.reopened;work_order.submitted,14-PERMISSIONS/work_order/work_order.md,11-UX/screens/work_order/work_order/,20-TESTING/work_order/work_order/reopen_work_order.md,always,KNOWN
